VehicleID,FuelTime,FuelLevel,Speed,Acceleration,Lat,Lng,Address,DistanceMeters,TimeGapMinutes,SegmentID,IsSegmentStart,DeltaFuel,FuelRate,RollingMedian,RollingStd,RollingCount,RollingWindowReady,MovementState,FlagFuelZero,FlagLongGap,FlagLargeDelta,FlagSuspiciousGap,QualityFlag,QualityReason,FeatureStatus,FuelPct,DeltaPct,AbsDeltaFuel,DeltaOverNoise,RollingStd12,RollingStdPct,GpsSpeedKmh,MotionSpeedKmh,HasGPS,capacity_est,noise_sigma_liters,flat_jitter_threshold,spike_threshold,event_threshold,PrevMedian3,FutureMedian3,FutureMedian5,ReturnToPrevLevel,LocalRange5,LocalRange7,PeakReversalFlag,ValleyReversalFlag,TransientScore,AI_State_Raw,AI_State,AI_State_Confidence,CleanFuelRealtime
Car 5,2025-11-18 08:39:39,519.7,0,,21.509972,104.699478,"Quốc Lộ 32, Xã Cát Thịnh, Tỉnh Lào Cai",0.0,0.0,1,1,0.0,,519.7,,1.0,0,Stopped,0,0,0,0,0,VALID,VALID,0.8711029165269863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,596.6,1.1932,2.983,7.1592,20.881000000000004,519.7,519.7,519.7,0.0,0.0,0.0,0,0,0.0,STABLE_JITTER,STABLE_JITTER,0.9991989368114453,519.7
Car 5,2025-11-18 08:39:49,521.3,0,0.0,21.509972,104.699478,"Quốc Lộ 32, Xã Cát Thịnh, Tỉnh Lào Cai",0.0,0.1666666666666666,1,0,1.599999999999909,9.599999999999454,520.5,1.131370849898412,2.0,0,Stopped,0,0,0,0,0,VALID,VALID,0.8737847804223935,0.0026818638954071556,1.599999999999909,1.3409319477035777,1.131370849898412,0.0018963641466617702,0.0,0.0,1,596.6,1.1932,2.983,7.1592,20.881000000000004,519.7,519.7,519.7,0.0,1.599999999999909,1.599999999999909,0,0,1.0,STABLE_JITTER,STABLE_JITTER,0.9906915935006257,520.040157480315
Car 5,2025-11-18 08:44:49,511.9,0,0.0,21.507599,104.70269,"Quốc Lộ 32, Xã Cát Thịnh, Tỉnh Lào Cai",424.3101296353368,5.0,1,0,-9.399999999999975,-1.8799999999999957,519.7,5.029247790011285,3.0,1,Stopped,0,0,0,0,0,VALID,VALID,0.8580288300368756,-0.015755950385517893,9.399999999999975,-7.877975192758947,5.029247790011285,0.008429848793180162,0.0,0.0,1,596.6,1.1932,2.983,7.1592,20.881000000000004,520.5,520.5,520.5,0.0,9.399999999999977,9.399999999999977,0,0,1.0,OSCILLATION_NOISE,OSCILLATION_NOISE,0.9316116671250931,520.014273140672
Car 5,2025-11-18 08:49:49,511.6,0,0.0,21.507599,104.70269,"Quốc Lộ 32, Xã Cát Thịnh, Tỉnh Lào Cai",0.0,5.0,1,0,-0.2999999999999545,-0.0599999999999909,515.8,5.095341009196534,4.0,1,Stopped,0,0,0,0,0,VALID,VALID,0.8575259805564868,-0.000502849480388794,0.2999999999999545,-0.25142474019439703,5.095341009196534,0.008540631929595262,0.0,0.0,1,596.6,1.1932,2.983,7.1592,20.881000000000004,519.7,519.7,519.7,0.0,9.699999999999932,9.699999999999932,0,0,1.0,OSCILLATION_NOISE,OSCILLATION_NOISE,0.7549616353577212,519.9875936079243
Car 5,2025-11-18 08:54:49,511.2,0,0.0,21.507599,104.70269,"Quốc Lộ 32, Xã Cát Thịnh, Tỉnh Lào Cai",0.0,5.0,1,0,-0.4000000000000341,-0.0800000000000068,511.9,4.931835358160283,5.0,1,Stopped,0,0,0,0,0,VALID,VALID,0.8568555145826349,-0.0006704659738518842,0.4000000000000341,-0.33523298692594206,4.931835358160283,0.00826656949071452,0.0,0.0,1,596.6,1.1932,2.983,7.1592,20.881000000000004,511.9,511.9,511.9,0.0,10.099999999999966,10.099999999999966,0,0,1.0,OSCILLATION_NOISE,OSCILLATION_NOISE,0.7539649731295457,519.9598097062793
Car 5,2025-11-18 08:59:49,510.9,0,0.0,21.507599,104.70269,"Quốc Lộ 32, Xã Cát Thịnh, Tỉnh Lào Cai",0.0,5.0,1,0,-0.3000000000000113,-0.0600000000000022,511.6,4.44375966946907,5.0,1,Stopped,0,0,0,0,0,VALID,VALID,0.856352665102246,-0.0005028494803888892,0.3000000000000113,-0.2514247401944446,4.44375966946907,0.007448474135885133,0.0,0.0,1,596.6,1.1932,2.983,7.1592,20.881000000000004,511.6,511.6,511.6,0.0,10.399999999999977,10.399999999999977,0,0,1.0,STABLE_JITTER,STABLE_JITTER,0.6407719363476038,519.1983270066347
Car 5,2025-11-18 09:04:49,509.0,35,0.1166666666666666,21.502516,104.708023,"Quốc Lộ 32, Xã Cát Thịnh, Tỉnh Lào Cai",789.8425084028777,5.0,1,0,-1.8999999999999773,-0.3799999999999954,511.2,1.1388590782006238,5.0,1,Moving,0,0,0,0,0,VALID,VALID,0.8531679517264499,-0.00318471337579614,1.8999999999999773,-1.5923566878980702,1.1388590782006238,0.001908915652364438,0.0,35.0,1,596.6,1.1932,2.983,7.1592,20.881000000000004,511.2,511.2,511.2,0.0,2.8999999999999773,12.299999999999955,0,0,1.0,GRADUAL_CHANGE,GRADUAL_CHANGE,0.9602762068776836,514.2613325046837
Car 5,2025-11-18 10:20:56,490.1,0,-0.0076636741843661,21.490088,104.72789,"Quốc Lộ 37, Xã Cát Thịnh, Tỉnh Lào Cai",2476.811034754739,76.11666666666666,1,0,-18.899999999999977,-0.2483030435734615,510.9,9.255430838161956,5.0,1,Stopped,0,1,1,1,1,LONG_GAP|LARGE_DELTA|SIGNAL_LOSS_MOVING,VALID,0.8214884344619511,-0.03167951726449879,18.899999999999977,-15.839758632249394,9.255430838161956,0.015513628625816218,0.0,0.0,1,596.6,1.1932,2.983,7.1592,20.881000000000004,510.9,510.9,510.9,0.0,21.5,31.199999999999932,0,0,1.0,OSCILLATION_NOISE,OSCILLATION_NOISE,0.8424898654995725,514.2029673536072
Car 5,2025-11-18 10:25:56,478.1,36,0.12,21.642632,104.797981,"Quốc Lộ 37, Xã Lương Thịnh, Tỉnh Lào Cai",18445.839221209146,5.0,1,0,-12.0,-2.4,509.0,15.023082240339306,5.0,1,Moving,0,0,0,0,0,VALID,VALID,0.8013744552463963,-0.02011397921555481,12.0,-10.056989607777405,15.023082240339306,0.02518116366131295,0.0,36.0,1,596.6,1.1932,2.983,7.1592,20.881000000000004,509.0,509.0,509.0,0.0,33.099999999999966,33.799999999999955,0,0,1.0,OSCILLATION_NOISE,OSCILLATION_NOISE,0.9494532592838844,513.4663494431022
Car 5,2025-11-18 10:30:56,482.0,38,0.0066666666666666,21.663984,104.808945,"Quốc Lộ 37, Xã Lương Thịnh, Tỉnh Lào Cai",2630.765550461408,5.0,1,0,3.899999999999977,0.7799999999999955,490.1,15.187396090179448,5.0,1,Moving,0,0,0,0,0,VALID,VALID,0.8079114984914515,0.006537043245055274,3.899999999999977,3.2685216225276372,15.187396090179448,0.025456580774688983,0.0,38.0,1,596.6,1.1932,2.983,7.1592,20.881000000000004,490.1,490.1,490.1,0.0,32.799999999999955,33.5,0,0,1.0,OSCILLATION_NOISE,OSCILLATION_NOISE,0.9662995656133802,512.5749891064935
