idx,fuel_time,gap_minutes,raw_z,speed,ai_state,confidence,x_before,x_after_rule,x_after,P_before,P_after,branch_selected,update_mode,R_selected,Q_selected,R_effective,Q_effective,K,adapt_action,fast_step,fast_step_th1,fast_step_th2,sustained_refuel,labeled_refuel,rise_count,drop_count,drain_count,recent_refuel_steps,dropout_count,capacity_est,flat_jitter,event_threshold
0,2026-08-12T08:20:00,0.0,141.4,0.0,STABLE_JITTER,1.0,,,141.4,4.0,4.0,init_first_valid,direct,,,,,,none,False,0.0,0.0,False,False,0,0,0,0,0,188.9,2.0,10.0
0,2026-08-12T08:25:00,5.0,140.7,0.0,STABLE_JITTER,0.9799,141.4,141.4,141.25,4.0,3.189,stable_jitter,kalman,15.0,0.05,15.0,0.05,0.2126,none,False,6.0,8.0,False,False,0,0,0,0,0,188.9,2.0,10.0
0,2026-08-12T08:30:00,5.0,141.5,50.0,STABLE_JITTER,0.9148,141.25,141.25,141.28,3.189,2.9456,gradual_or_moving,kalman,25.0,0.15,25.0,0.15,0.1178,none,False,6.0,8.0,False,False,0,0,0,0,0,188.9,2.0,10.0
0,2026-08-12T08:35:00,5.0,143.0,57.0,STABLE_JITTER,0.8103,141.28,141.28,141.47,2.9456,2.7545,gradual_or_moving,kalman,25.0,0.15,25.0,0.15,0.1102,none,False,6.0,8.0,False,False,0,0,0,0,0,188.9,2.0,10.0
0,2026-08-12T08:40:00,5.0,140.9,0.0,STABLE_JITTER,0.6595,141.47,141.47,141.38,2.7545,2.3627,stable_jitter,kalman,15.0,0.05,15.0,0.05,0.1575,none,False,6.0,8.0,False,False,0,0,0,0,0,188.9,2.0,10.0
0,2026-08-12T08:45:00,5.0,139.6,0.0,STABLE_JITTER,0.917,141.38,141.38,141.13,2.3627,2.0784,stable_jitter,kalman,15.0,0.05,15.0,0.05,0.1386,none,False,6.0,8.0,False,False,0,0,0,0,0,188.9,2.0,10.0
0,2026-08-12T08:50:00,5.0,138.7,0.0,STABLE_JITTER,0.8606,141.13,141.13,140.83,2.0784,1.8639,stable_jitter,kalman,15.0,0.05,15.0,0.05,0.1243,none,False,6.0,8.0,False,False,0,0,0,0,0,188.9,2.0,10.0
0,2026-08-12T08:55:00,5.0,138.6,2.0,STABLE_JITTER,0.8894,140.83,140.83,140.58,1.8639,1.6974,stable_jitter,kalman,15.0,0.05,15.0,0.05,0.1132,none,False,6.0,8.0,False,False,0,0,0,0,0,188.9,2.0,10.0
0,2026-08-12T09:00:00,5.0,139.5,0.0,STABLE_JITTER,0.9133,140.58,140.58,140.47,1.6974,1.5651,stable_jitter,kalman,15.0,0.05,15.0,0.05,0.1043,none,False,6.0,8.0,False,False,0,0,0,0,0,188.9,2.0,10.0
0,2026-08-12T09:05:00,5.0,139.6,0.0,STABLE_JITTER,0.9265,140.47,140.47,140.38,1.5651,1.4581,stable_jitter,kalman,15.0,0.05,15.0,0.05,0.0972,none,False,6.0,8.0,False,False,0,0,0,0,0,188.9,2.0,10.0
