vehicle_id,capacity_est,noise_sigma_liters,noise_sigma_pct,sample_gap_minutes,flat_jitter_threshold,spike_threshold,event_threshold,max_drop_rate_lpm
12H-04470,235.0,0.5,0.002128,2.0,1.25,2.82,8.225,0.2
15H-08128,596.02,1.192,0.002,5.0,2.98,7.152,20.861,0.2
19H-06956,547.538,1.095,0.002,2.0,2.738,6.57,19.164,0.4107
20B-27762,387.541,0.775,0.002,5.0,1.938,4.65,13.564,0.2
21C-04064,555.3,1.111,0.002,2.0,2.776,6.664,19.436,0.4165
21H-00346,56.0,0.5,0.008929,2.0,1.25,2.25,4.05,0.2
21H-02058,537.0,1.074,0.002,2.0,2.685,6.444,18.795,0.4027
21H-03052,813.1,1.626,0.002,2.0,4.066,9.757,28.459,0.6098
21H-03221,827.9,1.656,0.002,2.0,4.139,9.935,28.977,0.6209
24H-03439,818.279,1.637,0.002,2.0,4.091,9.819,28.64,0.6137
24H-04058,272.222,0.544,0.002,2.0,1.361,3.267,9.528,0.2042
24H-05088,393.5,0.787,0.002,2.0,1.968,4.722,13.773,0.2951
29E-44284,565.4,1.131,0.002,2.0,2.827,6.785,19.789,0.424
29E-45520,188.9,0.5,0.002647,2.0,1.25,2.267,6.612,0.2
29E-45560,185.4,0.5,0.002697,2.0,1.25,2.25,6.489,0.2
29E-51878,187.5,0.5,0.002667,2.0,1.25,2.25,6.563,0.2
29H-41394,328.026,0.656,0.002,2.0,1.64,3.936,11.481,0.246
35H-09245,412.5,0.825,0.002,2.0,2.062,4.95,14.438,0.3094
35H-14767,577.93,0.867,0.0015,2.0,2.167,6.935,20.228,0.4334
36C-31893,849.8,1.7,0.002,2.0,4.249,10.198,29.743,0.6373
90H-03494,596.7,1.193,0.002,2.0,2.984,7.16,20.885,0.4475
92H-02653,536.7,1.073,0.002,2.0,2.684,6.44,18.785,0.4025
92H-02687,586.2,1.172,0.002,2.0,2.931,7.034,20.517,0.4397
92H-03625,518.9,1.038,0.002,2.0,2.595,6.227,18.162,0.3892
92H-04456,281.6,0.563,0.002,2.0,1.408,3.379,9.856,0.2112
92H-07095,578.443,1.157,0.002,2.0,2.892,6.941,20.245,0.4338
Bao_cao_lich_su_nhien_lieu_testnhienlieu_2026_08_18_05_16_23,818.279,1.637,0.002,2.0,4.091,9.819,28.64,0.6137
