VehicleID,Rows,SplitCounts,LabelCounts
Car 1,69474,{'train': 69474},"{'INVALID': 2, 'UNKNOWN': 1517, 'SLOSHING_NOISE': 5063, 'STABLE_JITTER': 59411, 'CONSUMPTION': 3228, 'SPIKE': 53, 'TRANSIENT_DOWN_NOISE': 67, 'REFUEL': 89, 'TRANSIENT_UP_NOISE': 42, 'DRAIN': 2}"
Car 2,63331,{'train': 63331},"{'STABLE_JITTER': 56669, 'CONSUMPTION': 2538, 'SLOSHING_NOISE': 3751, 'UNKNOWN': 179, 'REFUEL': 82, 'TRANSIENT_UP_NOISE': 24, 'DRAIN': 23, 'TRANSIENT_DOWN_NOISE': 23, 'SPIKE': 41, 'DROPOUT': 1}"
Car 3,69541,"{'train': 48678, 'val': 20863}","{'INVALID': 39, 'UNKNOWN': 1759, 'SLOSHING_NOISE': 5981, 'STABLE_JITTER': 59195, 'CONSUMPTION': 2007, 'TRANSIENT_UP_NOISE': 176, 'TRANSIENT_DOWN_NOISE': 147, 'REFUEL': 71, 'SPIKE': 145, 'DRAIN': 20, 'DROPOUT': 1}"
Car 5,13861,{'test': 13861},"{'STABLE_JITTER': 9071, 'CONSUMPTION': 709, 'TRANSIENT_DOWN_NOISE': 88, 'SLOSHING_NOISE': 3510, 'UNKNOWN': 163, 'SPIKE': 87, 'TRANSIENT_UP_NOISE': 55, 'DRAIN': 116, 'REFUEL': 62}"
12H-04470,2197,{'train': 2197},"{'STABLE_JITTER': 1299, 'UNKNOWN': 66, 'CONSUMPTION': 128, 'SLOSHING_NOISE': 589, 'TRANSIENT_DOWN_NOISE': 50, 'SPIKE': 35, 'DRAIN': 4, 'REFUEL': 3, 'TRANSIENT_UP_NOISE': 23}"
19H-06956,626,{'train': 626},"{'STABLE_JITTER': 542, 'CONSUMPTION': 67, 'UNKNOWN': 7, 'SLOSHING_NOISE': 10}"
20B-27762,1854,{'train': 1854},"{'STABLE_JITTER': 1833, 'CONSUMPTION': 7, 'UNKNOWN': 2, 'SPIKE': 2, 'SLOSHING_NOISE': 10}"
21C-04064,5508,{'train': 5508},"{'STABLE_JITTER': 5296, 'CONSUMPTION': 107, 'TRANSIENT_DOWN_NOISE': 2, 'SPIKE': 8, 'SLOSHING_NOISE': 77, 'UNKNOWN': 18}"
21H-02058,5736,{'train': 5736},"{'STABLE_JITTER': 5324, 'UNKNOWN': 87, 'TRANSIENT_UP_NOISE': 11, 'CONSUMPTION': 207, 'TRANSIENT_DOWN_NOISE': 12, 'SPIKE': 15, 'SLOSHING_NOISE': 78, 'DRAIN': 1, 'REFUEL': 1}"
21H-03052,5890,{'train': 5890},"{'STABLE_JITTER': 5553, 'UNKNOWN': 36, 'CONSUMPTION': 180, 'SLOSHING_NOISE': 103, 'TRANSIENT_DOWN_NOISE': 4, 'SPIKE': 4, 'TRANSIENT_UP_NOISE': 8, 'REFUEL': 2}"
21H-03221,5880,{'train': 5880},"{'STABLE_JITTER': 5234, 'CONSUMPTION': 170, 'UNKNOWN': 221, 'SPIKE': 52, 'TRANSIENT_DOWN_NOISE': 45, 'TRANSIENT_UP_NOISE': 21, 'SLOSHING_NOISE': 135, 'DRAIN': 1, 'REFUEL': 1}"
24H-03439,5622,{'train': 5622},"{'STABLE_JITTER': 4997, 'UNKNOWN': 81, 'TRANSIENT_DOWN_NOISE': 10, 'SPIKE': 14, 'CONSUMPTION': 439, 'REFUEL': 4, 'SLOSHING_NOISE': 69, 'TRANSIENT_UP_NOISE': 8}"
24H-04058,5557,{'train': 5557},"{'STABLE_JITTER': 5214, 'CONSUMPTION': 158, 'UNKNOWN': 39, 'SLOSHING_NOISE': 135, 'SPIKE': 2, 'TRANSIENT_DOWN_NOISE': 3, 'TRANSIENT_UP_NOISE': 5, 'REFUEL': 1}"
24H-05088,5891,{'train': 5891},"{'STABLE_JITTER': 5314, 'CONSUMPTION': 344, 'UNKNOWN': 53, 'SLOSHING_NOISE': 169, 'REFUEL': 3, 'TRANSIENT_UP_NOISE': 3, 'TRANSIENT_DOWN_NOISE': 2, 'SPIKE': 3}"
29E-44284,4419,{'train': 4419},"{'STABLE_JITTER': 3530, 'UNKNOWN': 102, 'CONSUMPTION': 531, 'SLOSHING_NOISE': 241, 'REFUEL': 6, 'SPIKE': 3, 'TRANSIENT_UP_NOISE': 4, 'DRAIN': 1, 'TRANSIENT_DOWN_NOISE': 1}"
29E-45520,4134,{'train': 4134},"{'STABLE_JITTER': 3997, 'UNKNOWN': 31, 'SPIKE': 1, 'CONSUMPTION': 58, 'SLOSHING_NOISE': 47}"
29E-45560,4176,{'train': 4176},"{'STABLE_JITTER': 3908, 'CONSUMPTION': 174, 'SLOSHING_NOISE': 80, 'UNKNOWN': 13, 'REFUEL': 1}"
29E-51878,4180,{'train': 4180},"{'STABLE_JITTER': 3903, 'CONSUMPTION': 179, 'SLOSHING_NOISE': 81, 'UNKNOWN': 15, 'REFUEL': 2}"
29H-41394,4676,{'train': 4676},"{'STABLE_JITTER': 4047, 'CONSUMPTION': 319, 'UNKNOWN': 66, 'SLOSHING_NOISE': 191, 'TRANSIENT_UP_NOISE': 20, 'SPIKE': 15, 'TRANSIENT_DOWN_NOISE': 17, 'REFUEL': 1}"
35H-09245,4055,{'train': 4055},"{'STABLE_JITTER': 3822, 'CONSUMPTION': 194, 'UNKNOWN': 17, 'REFUEL': 2, 'SLOSHING_NOISE': 20}"
35H-14767,3496,{'train': 3496},"{'STABLE_JITTER': 2194, 'CONSUMPTION': 850, 'UNKNOWN': 187, 'SLOSHING_NOISE': 170, 'TRANSIENT_UP_NOISE': 36, 'TRANSIENT_DOWN_NOISE': 39, 'SPIKE': 17, 'REFUEL': 3}"
36C-31893,5853,{'train': 5853},"{'STABLE_JITTER': 5571, 'UNKNOWN': 98, 'CONSUMPTION': 156, 'REFUEL': 2, 'SLOSHING_NOISE': 20, 'SPIKE': 6}"
92H-02653,5905,{'train': 5905},"{'STABLE_JITTER': 5631, 'TRANSIENT_UP_NOISE': 1, 'TRANSIENT_DOWN_NOISE': 4, 'SLOSHING_NOISE': 30, 'UNKNOWN': 12, 'CONSUMPTION': 223, 'REFUEL': 2, 'SPIKE': 2}"
92H-07095,5906,{'train': 5906},"{'STABLE_JITTER': 4633, 'CONSUMPTION': 947, 'UNKNOWN': 173, 'TRANSIENT_DOWN_NOISE': 7, 'SPIKE': 24, 'REFUEL': 5, 'SLOSHING_NOISE': 111, 'TRANSIENT_UP_NOISE': 6}"
90H-03494,5021,{'test': 5021},"{'STABLE_JITTER': 4699, 'CONSUMPTION': 241, 'SPIKE': 2, 'UNKNOWN': 42, 'SLOSHING_NOISE': 35, 'REFUEL': 2}"
92H-02687,4845,{'test': 4845},"{'STABLE_JITTER': 4158, 'CONSUMPTION': 576, 'UNKNOWN': 39, 'SLOSHING_NOISE': 70, 'TRANSIENT_DOWN_NOISE': 1, 'SPIKE': 1}"
