VehicleID,Label,Support,Precision,Recall,F1,MeanTrueClassConfidence
90H-03494,UPWARD_SHIFT,2,1.0,0.5,0.6667,0.6979
90H-03494,DOWNWARD_SHIFT,0,0.0,0.0,0.0,
90H-03494,GRADUAL_CHANGE,241,1.0,0.9959,0.9979,0.9859
90H-03494,STABLE_JITTER,4699,1.0,0.9974,0.9987,0.9892
90H-03494,OSCILLATION_NOISE,37,0.7255,1.0,0.8409,0.9304
92H-02687,UPWARD_SHIFT,0,0.0,0.0,0.0,
92H-02687,DOWNWARD_SHIFT,0,0.0,0.0,0.0,
92H-02687,GRADUAL_CHANGE,576,0.9983,0.9983,0.9983,0.993
92H-02687,STABLE_JITTER,4158,1.0,0.9935,0.9967,0.9819
92H-02687,OSCILLATION_NOISE,72,0.7143,0.9722,0.8235,0.9516
