Vehicle,Normal_%,NoiseNhỏ_%,NoiseMạnh_%,Spike_%,Rise_%,Drop_%,Gap_%,Dominant_Pattern
12H-04470,61.95,14.06,19.8,1.23,2.05,0.91,0.36,Normal + Event
15H-08128,97.19,2.28,0.13,0.13,0.27,0.0,3.08,Normal
19H-06956,80.51,15.97,2.72,0.0,0.8,0.0,0.0,Normal
20B-27762,98.38,1.29,0.22,0.05,0.05,0.0,0.05,Normal
21C-04064,93.05,5.65,1.0,0.09,0.22,0.0,0.0,Normal
21H-00346,99.8,0.17,0.03,0.0,0.0,0.0,0.0,Normal
21H-02058,88.6,5.98,4.92,0.1,0.28,0.12,0.02,Normal
21H-03052,89.95,7.5,2.22,0.05,0.2,0.07,0.0,Normal
21H-03221,79.91,9.4,9.9,0.34,0.24,0.2,0.0,Normal
24H-03439,74.21,19.44,5.96,0.09,0.25,0.05,0.02,Normal
24H-04058,92.19,4.77,2.84,0.0,0.16,0.04,0.0,Normal
24H-05088,86.2,9.57,3.84,0.0,0.24,0.15,0.0,Normal
29E-44284,61.3,29.78,8.44,0.0,0.34,0.14,0.0,Normal
29E-45520,94.69,1.82,3.37,0.0,0.12,0.0,0.0,Normal
29E-45560,90.09,4.84,4.91,0.0,0.17,0.0,0.0,Normal
29E-51878,90.75,5.16,3.74,0.0,0.35,0.0,0.0,Normal
29H-41394,77.71,16.11,5.37,0.16,0.54,0.11,0.02,Normal
35H-09245,86.61,10.83,2.34,0.0,0.22,0.0,0.05,Normal
35H-14767,42.31,39.67,16.28,0.34,1.03,0.37,0.2,Normal + Event
36C-31893,84.81,10.52,4.53,0.0,0.14,0.0,0.02,Normal
90H-03494,83.67,13.35,2.9,0.0,0.08,0.0,0.0,Normal
92H-02653,90.16,0.0,9.64,0.02,0.17,0.02,0.0,Normal
92H-02687,70.87,26.52,1.96,0.04,0.61,0.0,0.0,Normal
92H-03625,90.52,7.97,1.29,0.0,0.22,0.0,0.0,Normal
92H-04456,100.0,0.0,0.0,0.0,0.0,0.0,0.02,Normal
92H-07095,60.45,28.41,10.46,0.02,0.64,0.02,0.0,Normal
Bao_cao_lich_su_nhien_lieu_testnhienlieu_2026_08_18_05_16_23,74.21,19.44,5.96,0.09,0.25,0.05,0.02,Normal
