Vehicle,Samples,Fuel_Min,Fuel_Max,Fuel_Mean,Fuel_Std,Gap_Min,Gap_Max,Gap_Mean,Gap_Median,Gap_P95,Delta_Max,Delta_Mean,Delta_Median,Delta_P95,Count_Rise,Count_Drop,Count_Spike
12H-04470,2197,78.5,236.5,163.0,41.9,1.0,896.0,4.8,2.0,5.0,114.7,1.47,0.1,4.3,45,20,27
15H-08128,747,0.0,599.6,277.1,224.9,1.0,2779.0,15.9,5.0,9.0,487.9,1.0,0.0,0.2,2,0,1
19H-06956,626,204.3,548.9,452.0,58.3,1.0,3.0,2.1,2.0,3.0,105.9,0.91,0.0,2.1,5,0,0
20B-27762,1854,294.2,393.2,372.2,10.1,2.0,885.0,5.5,5.0,5.0,86.6,0.14,0.0,0.2,1,0,1
21C-04064,5508,171.1,561.3,397.9,118.3,1.0,4.0,2.1,2.0,3.0,114.4,0.39,0.0,1.1,12,0,5
21H-00346,5891,49.5,56.0,53.9,2.0,1.0,4.0,2.0,2.0,2.0,1.9,0.01,0.0,0.1,0,0,0
21H-02058,5736,154.2,538.1,295.0,158.8,1.0,318.0,2.1,2.0,2.0,87.6,0.5,0.0,3.0,16,7,6
21H-03052,5890,300.0,849.9,710.3,130.6,1.0,6.0,2.0,2.0,2.0,98.2,0.48,0.0,2.46,12,4,3
21H-03221,5880,94.0,828.4,310.1,153.1,1.0,6.0,2.0,2.0,2.0,160.4,1.32,0.0,8.5,14,12,20
24H-03439,5622,424.3,826.5,631.8,92.5,1.0,554.0,2.1,2.0,2.0,235.7,1.06,0.0,4.8,14,3,5
24H-04058,5557,96.1,282.2,169.7,49.2,0.0,4.0,2.1,2.0,3.0,83.1,0.2,0.0,0.9,9,2,0
24H-05088,5891,48.8,404.8,245.0,93.9,1.0,6.0,2.0,2.0,2.0,100.5,0.4,0.0,1.8,14,9,0
29E-44284,4419,42.2,568.7,269.9,152.4,1.0,7.0,2.7,2.0,5.0,137.7,1.15,0.2,3.8,15,6,0
29E-45520,4180,27.1,189.5,79.5,47.3,1.0,6.0,2.8,2.0,5.0,63.9,0.12,0.0,0.6,5,0,0
29E-45560,4238,35.5,187.3,117.3,31.3,1.0,7.0,2.8,2.0,5.0,100.3,0.21,0.0,1.0,7,0,0
29E-51878,4227,53.4,192.1,134.2,26.8,1.0,7.0,2.8,2.0,5.0,74.0,0.22,0.0,0.9,15,0,0
29H-41394,5549,91.1,335.3,218.1,50.6,1.0,181.0,2.1,2.0,3.0,99.6,0.66,0.0,2.0,30,6,9
35H-09245,4109,101.9,416.5,274.1,110.6,1.0,3453.0,2.9,2.0,2.0,152.6,0.39,0.0,1.5,9,0,0
35H-14767,3496,135.5,583.9,364.0,108.8,1.0,686.0,3.3,2.0,2.0,94.2,1.92,0.8,5.7,36,13,12
36C-31893,5853,439.8,849.8,746.3,117.6,1.0,100.0,2.0,2.0,2.0,105.0,0.65,0.0,4.1,8,0,0
90H-03494,5896,66.3,598.8,362.8,140.5,1.0,7.0,2.0,2.0,2.0,192.1,0.45,0.0,2.1,5,0,0
92H-02653,5905,110.0,543.4,282.4,135.9,1.0,4.0,2.0,2.0,2.0,83.4,0.42,0.0,3.4,10,1,1
92H-02687,5706,173.7,593.8,419.2,102.9,1.0,6.0,2.1,2.0,3.0,131.5,0.82,0.1,2.1,35,0,2
92H-03625,5506,178.6,528.5,450.3,105.1,1.0,4.0,2.2,2.0,3.0,81.4,0.28,0.0,1.3,12,0,0
92H-04456,5877,281.6,281.6,281.6,0.0,1.0,21.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0
92H-07095,5906,51.6,582.7,394.3,141.7,1.0,5.0,2.0,2.0,2.0,108.0,1.33,0.1,4.8,38,1,1
Bao_cao_lich_su_nhien_lieu_testnhienlieu_2026_08_18_05_16_23,5622,424.3,826.5,631.8,92.5,1.0,554.0,2.1,2.0,2.0,235.7,1.06,0.0,4.8,14,3,5
