Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Demo sensor nhiên liệu
,,,,,Hà Nội
,,,,,Tel: 
,,,,,"Website: www.giamsathanhtrinh.vn, www.vcomsatjsc.com"
,,,,,
,,,,,
BÁO CÁO LỊCH SỬ NHIÊN LIỆU,,,,,
FUEL DIARY REPORT,,,,,
,,,,,
,2026-07-29 00:00:01,,2026-08-07 23:59:00,,
,,,,,
,,,,,
Số TT,Biển số,Thời gian,Nhiên liệu,Vận tốc,Địa điểm
(No.),(Cars),(Time),(Fuel),(Speed),(Location)
(1),(2),(3),(4),(5),(6)
1,19B-04587,29/07/2026 00:00,351.6,38,"Tỉnh Lộ 319B, Xã Bằng Luân, Tỉnh Phú Thọ"
2,19B-04587,29/07/2026 00:05,352.5,0,"Tỉnh Lộ 319B, Xã Bằng Luân, Tỉnh Phú Thọ"
3,19B-04587,29/07/2026 00:10,352.5,0,"Tỉnh Lộ 319B, Xã Bằng Luân, Tỉnh Phú Thọ"
4,19B-04587,29/07/2026 00:15,352.5,0,"Tỉnh Lộ 319B, Xã Bằng Luân, Tỉnh Phú Thọ"
5,19B-04587,29/07/2026 00:20,352.5,0,"Tỉnh Lộ 319B, Xã Bằng Luân, Tỉnh Phú Thọ"
6,19B-04587,29/07/2026 00:25,352.5,0,"Tỉnh Lộ 319B, Xã Bằng Luân, Tỉnh Phú Thọ"
7,19B-04587,29/07/2026 00:30,352.5,0,"Tỉnh Lộ 319B, Xã Bằng Luân, Tỉnh Phú Thọ"
8,19B-04587,29/07/2026 00:35,352.5,0,"Tỉnh Lộ 319B, Xã Bằng Luân, Tỉnh Phú Thọ"
9,19B-04587,29/07/2026 00:40,352.5,0,"Tỉnh Lộ 319B, Xã Bằng Luân, Tỉnh Phú Thọ"
10,19B-04587,29/07/2026 00:45,352.5,0,"Tỉnh Lộ 319B, Xã Bằng Luân, Tỉnh Phú Thọ"
11,19B-04587,29/07/2026 00:50,352.5,0,"Tỉnh Lộ 319B, Xã Bằng Luân, Tỉnh Phú Thọ"
12,19B-04587,29/07/2026 00:55,352.5,0,"Tỉnh Lộ 319B, Xã Bằng Luân, Tỉnh Phú Thọ"
13,19B-04587,29/07/2026 01:00,352.5,0,"Tỉnh Lộ 319B, Xã Bằng Luân, Tỉnh Phú Thọ"
14,19B-04587,29/07/2026 01:05,352.5,0,"Tỉnh Lộ 319B, Xã Bằng Luân, Tỉnh Phú Thọ"
15,19B-04587,29/07/2026 01:10,352.5,0,"Tỉnh Lộ 319B, Xã Bằng Luân, Tỉnh Phú Thọ"
16,19B-04587,29/07/2026 01:15,352.5,0,"Tỉnh Lộ 319B, Xã Bằng Luân, Tỉnh Phú Thọ"
